Alibaba Aur 40 Chor;MOVIE;8;1979;138;[drama, action, romance, family, fantasy];0;6.2;555
Professor;MOVIE;2;1962;163;[romance, comedy, drama];0;6.8;285
Chadi Jawani Budhe Nu;MOVIE;6;1976;135;[romance];0;4.6;14
Bandie;MOVIE;4;1978;141;[drama, romance, action];0;4.2;35
Khoon Khoon;MOVIE;7;1973;131;[drama, crime, thriller];0;5.1;41
Top Gun;MOVIE;6;1986;110;[drama, action];0;6.9;329656
Seinfeld;SHOW;9;1989;24;[comedy];9;8.9;302700
Stand by Me;MOVIE;1;1986;89;[drama];0;8.1;392790
Once Upon a Time in America;MOVIE;12;1984;229;[drama, crime, european];0;8.3;342335
When Harry Met Sally...;MOVIE;1;1989;96;[romance, comedy, drama];0;7.7;212913
Teenage Mutant Ninja Turtles;MOVIE;7;1990;93;[scifi, action, comedy, family];0;6.7;92647
Full Metal Jacket;MOVIE;2;1987;116;[drama, war];0;8.3;723306
Christine;MOVIE;7;1983;90;[horror, thriller, european];0;6.7;80945
A Nightmare on Elm Street;MOVIE;5;1984;91;[horror];0;7.4;230543
Knight Rider;SHOW;8;1982;51;[action, scifi, crime, drama];4;6.9;33760
Awakenings;MOVIE;1;1990;120;[drama, european];0;7.8;137549
Thomas & Friends;SHOW;12;1984;10;[family, comedy, music, action, animation, fantasy, drama];24;6.5;4948
Annie;MOVIE;2;1982;127;[drama, family, comedy];0;6.6;44866
Pet Sematary;MOVIE;1;1989;103;[horror, fantasy, thriller];0;6.5;102212
Saved by the Bell;SHOW;7;1989;23;[comedy, romance, family];5;7.1;34854
Shes Gotta Have It;MOVIE;2;1986;84;[comedy, romance];0;6.7;14277
Eddie Murphy Raw;MOVIE;12;1987;93;[comedy, documentation];0;7.6;19646
Endless Love;MOVIE;8;1981;116;[drama, romance];0;4.9;8374
Wheel of Fortune;SHOW;5;1983;26;[family];39;6.7;3126
Major Dad;SHOW;10;1989;24;[comedy, family];4;6.4;2866
Fireman Sam;SHOW;6;1987;10;[comedy, animation, family, crime, european];13;6.1;1759
Danger Mouse;SHOW;2;1981;15;[comedy, family, scifi, animation, european];10;7.4;3514
Mobile Suit Gundam II: Soldiers of Sorrow;MOVIE;8;1981;133;[scifi, drama, war, animation, action];0;7.2;1242
Mobile Suit Gundam: Chars Counterattack;MOVIE;1;1988;120;[scifi, animation, action, drama, war];0;7.3;1649
Sam Kinison: Breaking the Rules;MOVIE;11;1987;50;[comedy, documentation];0;7.2;651
Tim Allen: Men Are Pigs;MOVIE;1;1990;30;[comedy, documentation];0;0.6;353
Monty Python Live at the Hollywood Bowl;MOVIE;9;1982;77;[comedy, documentation];0;7.9;15186
The George McKenna Story;MOVIE;10;1988;100;[drama];0;0.6;901
Unspeakable Acts;MOVIE;4;1990;100;[drama];0;0.6;448
Waiting for the Hearse;MOVIE;5;1985;87;[comedy];0;0.8;6285
Mobile Suit Gundam III: Encounters in Space;MOVIE;2;1982;144;[animation, action, drama, scifi, war];0;7.7;1210
Agneepath;MOVIE;8;1990;174;[action, crime, drama];0;7.6;8902
Parrot Sketch Not Included: Twenty Years of Monty Python;MOVIE;12;1989;72;[comedy];0;8.1;1522
Too Young The Hero;MOVIE;10;1988;100;[drama, war];0;6.7;494
Adam: His Song Continues;MOVIE;2;1986;100;[crime, drama];0;0.7;209
Disco Dancer;MOVIE;7;1982;134;[drama, romance];0;6.5;1449
The Ryan White Story;MOVIE;6;1989;102;[drama];0;7.2;857
In Defense of a Married Man;MOVIE;4;1990;94;[drama, crime];0;5.6;200
Dil;MOVIE;3;1990;172;[romance, comedy, drama];0;6.6;5273
Bye Bye London;MOVIE;11;1982;170;[comedy, drama];0;8.7;154
Quiet Victory: The Charlie Wedemeyer Story;MOVIE;1;1988;100;[drama];0;7.1;144
Strange Voices;MOVIE;8;1987;100;[drama];0;6.3;357
Aakhri Adaalat;MOVIE;10;1988;148;[action, crime, thriller];0;5.1;92
A Stoning in Fulham County;MOVIE;2;1988;120;[crime, drama, thriller];0;5.8;380
The Married Couples;MOVIE;3;1981;194;[drama];0;0;0
Sayed The Servant;MOVIE;3;1985;166;[comedy];0;0;0
Muqaddar Ka Faisla;MOVIE;12;1987;172;[comedy, drama, family, action];0;4.8;68
Sohni Mahiwal;MOVIE;8;1984;160;[romance, action, drama];0;6.1;297
The Little Wars;MOVIE;6;1982;108;[drama, war, european];0;6.3;149
Bill Hicks: Sane Man;MOVIE;2;1989;81;[comedy];0;0;0
Duniya;MOVIE;8;1984;170;[drama, action];0;6.2;241
Pyar Ke Do Pal;MOVIE;8;1986;153;[drama, action];0;6.1;65
Jaal;MOVIE;8;1986;159;[drama, thriller, action];0;5.2;122
Mujrim;MOVIE;7;1989;162;[drama, action, crime];0;5.4;188
An Egyptian Story;MOVIE;11;1982;129;[fantasy, drama];0;7.3;1113
Ek Jaan Hain Hum;MOVIE;10;1983;151;[family, romance];0;6.3;70
The Quick and the Dead;MOVIE;3;1995;107;[western, thriller, action, romance];0;6.5;92224
Survivor;SHOW;8;2000;48;[reality];42;7.4;24368
Stargate SG-1;SHOW;10;1997;44;[scifi, drama, action];10;8.4;90196
Pokémon;SHOW;8;1997;22;[scifi, action, comedy, fantasy, animation, family];24;7.6;172
Forrest Gump;MOVIE;10;1994;142;[drama, romance, comedy];0;8.8;1994599
Happy Gilmore;MOVIE;1;1996;92;[comedy, sport];0;0.7;217534
One Piece;SHOW;1;1999;23;[action, comedy, animation, drama, fantasy];21;8.8;112586
Saving Private Ryan;MOVIE;4;1998;169;[drama, war];0;8.6;1346020
Cowboy Bebop;SHOW;8;1998;25;[western, action, scifi, thriller, animation, comedy, drama];1;8.9;112887
Star Trek: Deep Space Nine;SHOW;10;1993;47;[scifi, action, drama];7;8.1;61145
The Challenge;SHOW;4;1998;40;[reality, comedy, drama, scifi];37;7.8;3274
Gattaca;MOVIE;5;1997;106;[thriller, drama, scifi];0;7.8;298168
Gilmore Girls;SHOW;7;2000;46;[comedy, drama];8;8.2;119054
Blade;MOVIE;7;1998;120;[action, scifi, horror];0;7.1;267181
Youve Got Mail;MOVIE;5;1998;119;[romance, drama, comedy];0;6.7;209258
Starship Troopers;MOVIE;12;1997;129;[scifi, thriller, action];0;7.3;288960
Neon Genesis Evangelion;SHOW;6;1995;24;[scifi, action, drama, thriller, fantasy, animation];1;8.5;64727
The Magic School Bus;SHOW;5;1994;26;[scifi, comedy, family, fantasy, animation];4;7.8;9708
Donnie Brasco;MOVIE;10;1997;127;[thriller, drama, crime];0;7.7;300073
Power Rangers;SHOW;5;1993;22;[scifi, action, fantasy, family];29;6.5;21949
U.S. Marshals;MOVIE;5;1998;126;[thriller, crime, action];0;6.5;103263
Adventures of Sonic the Hedgehog;SHOW;4;1993;22;[action, animation, scifi, western, fantasy, comedy, family];4;6.2;3808
Wild Things;MOVIE;10;1998;108;[drama, thriller, crime, european];0;6.6;118811
Last Action Hero;MOVIE;3;1993;130;[comedy, action, fantasy];0;6.4;149290
Seven Years in Tibet;MOVIE;7;1997;136;[drama, history, war];0;7.1;141308
The Devils Advocate;MOVIE;3;1997;144;[horror, thriller, drama];0;7.5;361422
A River Runs Through It;MOVIE;1;1992;123;[drama];0;7.2;59086
Goosebumps;SHOW;1;1995;22;[scifi, fantasy, horror, thriller, family, music];4;7.6;13361
Yu-Gi-Oh!;SHOW;6;1998;22;[scifi, action, family, fantasy, animation, comedy, drama];7;7.2;20888
InuYasha;SHOW;6;2000;25;[action, comedy, scifi, animation, drama, fantasy, romance];9;7.9;15823
Any Given Sunday;MOVIE;1;1999;162;[drama, sport];0;6.9;118479
Menace II Society;MOVIE;3;1993;97;[drama, crime, thriller];0;7.5;57399
Desperado;MOVIE;11;1995;104;[thriller, action, crime, western, european];0;7.1;183638
The Mask of Zorro;MOVIE;8;1998;136;[action, thriller, western, comedy, romance];0;6.8;181306
The Patriot;MOVIE;1;2000;165;[drama, action, history, war];0;7.2;270231
Road Trip;MOVIE;12;2000;93;[comedy];0;6.5;167670
Free Willy;MOVIE;6;1993;112;[drama, family];0;0.6;75244
My First Errand;SHOW;7;1991;19;[reality];12;0;0
3 Ninjas Kick Back;MOVIE;12;1994;93;[action, comedy, family, sport];0;4.5;9208
In the Line of Fire;MOVIE;2;1993;128;[drama, thriller, action, crime];0;7.2;101939
The Replacements;MOVIE;11;2000;118;[comedy, sport];0;6.6;64087
Johnny Mnemonic;MOVIE;12;1995;97;[scifi, thriller, action, drama];0;5.6;71062
Little Women;MOVIE;3;1994;115;[drama, family, romance];0;7.3;57621
Anaconda;MOVIE;6;1997;89;[thriller, horror, action];0;4.8;103459
My Girl;MOVIE;1;1991;103;[comedy, drama, family, romance, european];0;6.9;79800
Cliffhanger;MOVIE;5;1993;112;[thriller, action, animation];0;6.5;128179
I Know What You Did Last Summer;MOVIE;9;1997;101;[horror, thriller];0;5.7;142696
Teenage Mutant Ninja Turtles II: The Secret of the Ooze;MOVIE;11;1991;88;[scifi, action, comedy, family];0;0.6;55499
Hollow Man;MOVIE;7;2000;112;[scifi, action, horror, thriller];0;5.8;130099
Godzilla;MOVIE;4;1998;133;[thriller, scifi, action];0;5.4;191722
Neon Genesis Evangelion: The End of Evangelion;MOVIE;7;1997;87;[scifi, action, drama, fantasy, animation];0;0.8;51938
Spawn;MOVIE;8;1997;96;[fantasy, horror, scifi, thriller, action, drama];0;5.2;67761
Dennis the Menace;MOVIE;12;1993;95;[comedy, family];0;5.6;60779
The Net;MOVIE;6;1995;114;[thriller, action, crime, drama];0;5.9;66127
The Devils Own;MOVIE;4;1997;107;[thriller, drama, action, crime, european];0;6.2;64625
Croupier;MOVIE;1;1998;94;[thriller, european, crime, drama];0;0.7;21382
Teenage Mutant Ninja Turtles III;MOVIE;11;1993;96;[fantasy, scifi, action, comedy, family];0;4.7;33128
The Generals Daughter;MOVIE;6;1999;116;[drama, crime, thriller];0;6.4;58726
The Next Karate Kid;MOVIE;5;1994;107;[drama, family, romance, sport, action];0;4.5;30138
I Still Know What You Did Last Summer;MOVIE;11;1998;100;[thriller, horror];0;4.7;73269
Double Team;MOVIE;10;1997;93;[scifi, action, comedy, thriller];0;4.7;34127
Under Suspicion;MOVIE;9;2000;110;[thriller, crime, drama, european];0;6.5;25432
Moesha;SHOW;3;1996;21;[drama, comedy, family];6;5.7;3713
Cardcaptor Sakura;SHOW;10;1998;25;[scifi, comedy, drama, family, fantasy, romance, animation, action];4;0.8;4936
Geronimo: An American Legend;MOVIE;11;1993;115;[western, drama, history];0;6.5;11506
The Mirror Has Two Faces;MOVIE;2;1996;126;[romance, comedy, drama];0;6.6;19829
Bill Hicks: One Night Stand;MOVIE;5;1991;30;[comedy];0;0;0
Knight Rider 2000;MOVIE;7;1991;91;[action, scifi];0;4.5;3178
The Last Days;MOVIE;8;1998;87;[drama, documentation, war];0;7.9;4247
The Parkers;SHOW;9;1999;19;[comedy];5;6.8;2346
Heavy;MOVIE;8;1995;105;[romance, drama];0;6.8;4921
Bill Hicks: Revelations;MOVIE;6;1993;74;[comedy, documentation];0;8.5;3085
Sankofa;MOVIE;2;1993;124;[drama, european];0;0.7;678
Bill Hicks: Relentless;MOVIE;8;1992;61;[comedy];0;0;0
Dales Supermarket Sweep;SHOW;9;1993;21;[unknown];8;7.1;39
Jerry Seinfeld: Im Telling You for the Last Time;MOVIE;5;1998;75;[comedy, documentation];0;7.9;5834
Children of God;MOVIE;3;1994;63;[documentation];0;6.4;589
Wild Tango;MOVIE;1;1993;124;[drama, music, romance];0;6.7;1564
Kuch Kuch Hota Hai;MOVIE;10;1998;185;[drama, romance, comedy];0;7.6;51640
Oggy and the Cockroaches;SHOW;10;1999;9;[comedy, family, action, animation, european];7;7.4;4185
Herods Law;MOVIE;10;1999;120;[drama, comedy, crime];0;7.8;5943
Tim Allen: Rewires America;MOVIE;3;1991;30;[comedy, documentation];0;5.9;195
Heartbreak High;SHOW;7;1994;47;[drama, romance, comedy];7;7.8;3106
Dil Se..;MOVIE;10;1998;163;[drama, romance];0;7.5;28409
Escalona;SHOW;1;1991;44;[drama];1;0;0
Aashik Aawara;MOVIE;2;1993;153;[romance, comedy, drama];0;4.7;320
Destiny;MOVIE;6;1997;136;[drama, romance, comedy, history];0;7.1;2825
Oh Darling! Yeh Hai India!;MOVIE;7;1995;153;[comedy];0;0.4;1678
A Triumph of the Heart: The Ricky Bell Story;MOVIE;9;1991;100;[drama, sport];0;7.2;248
Bombay;MOVIE;11;1995;141;[romance, drama];0;8.1;12512
West Beirut;MOVIE;12;1998;105;[romance, war, comedy, drama, european];0;7.6;4175
Muthu;MOVIE;9;1995;165;[drama, comedy, romance, action];0;7.6;3056
Qila;MOVIE;2;1998;160;[drama, music, family];0;4.8;129
